datum;training
23-12-2025;Hardlopen (40 minuten)
25-12-2025;Hardlopen (6x3 minuten interval met 2 minuten dribbelen)
28-12-2025;Hardlopen (60 minuten)
30-12-2025;Hardlopen (35 minuten, laatste 5 minuten versnellen)
01-01-2026;Hardlopen (5x4 minuten interval met 2 minuten dribbelen)
02-01-2026;Zwemmen (borstcrawl oefeningen)
04-01-2026;Hardlopen (70 minuten)
13-01-2026;Hardlopen (30 minuten, 8x30 seconden versnellen)
15-01-2026;Hardlopen (10x2 minuten interval met 1 minuut dribbelen)
16-01-2026;Zwemmen (borstcrawl oefeningen)
18-01-2026;Hardlopen (70 minuten)
20-01-2026;Hardlopen (40 minuten)
22-01-2026;Hardlopen (6x3 minuten interval met 1 minuut dribbelen)
23-01-2026;Zwemmen (borstcrawl oefeningen)
25-01-2026;Hardlopen (80 minuten)
27-01-2026;Hardlopen (45 minuten, 5x1 minuut versnellen)
29-01-2026;Hardlopen (7x3 minuten interval met 2 minuten dribbelen)
30-01-2026;Zwemmen (borstcrawl oefeningen)
01-02-2026;Hardlopen (90 minuten)
03-02-2026;Hardlopen (50 minuten)
05-02-2026;Hardlopen (6x5 minuten interval met 2 minuten dribbelen)
06-02-2026;Zwemmen (borstcrawl oefeningen)
08-02-2026;Hardlopen (95 minuten)
10-02-2026;Hardlopen (50 minuten)
12-02-2026;Hardlopen (4,3,2,1,1,2,3,4 minuten interval met 2 minuten dribbelen)
13-02-2026;Zwemmen (borstcrawl oefeningen)
15-02-2026;Hardlopen (100 minuten)
18-02-2026;Hardlopen (40 minuten, 5x1 minuut versnellen)
22-02-2026;Hardlopen (110 minuten)
24-02-2026;Hardlopen (45 minuten)
26-02-2026;Hardlopen (7x3 minuten interval met 2 minuten dribbelen)
27-02-2026;Zwemmen (4x400 meter duurtraining)
01-03-2026;Hardlopen (115 minuten)
03-03-2026;Hardlopen (50 minuten, 5x1 minuut versnellen)
08-03-2026;Hardlopen (85 minuten)
10-03-2026;Zwemmen (6x100 meter interval, totaal 1600 meter)
11-03-2026;Hardlopen (30 minuten)
12-03-2026;Hardlopen (4,3,2,1,1,2,3,4 minuten interval met 2 minuten dribbelen)
15-03-2026;Hardlopen (Halve marathon evenement)
17-03-2026;Zwemmen (3x500 meter duurtraining)
18-03-2026;Hardlopen (4x2 km intervals)
20-03-2026;Fietsen (1 uur, 3x8 minuten versnellen)
22-03-2026;Hardlopen (12 km, lage hartslag)
24-03-2026;Zwemmen (8x150 meter interval, totaal 2000 meter)
25-03-2026;Hardlopen (1 uur, 4x7 minuten versnellen)
29-03-2026;Fietsen (50 kilometer)
31-03-2026;Zwemmen (1900 meter, tempo met warm-up en cool-down)
01-04-2026;Hardlopen (6 km, lage hartslag)
03-04-2026;Fietsen (1 uur, 3x10 minuten versnellen)
05-04-2026;Hardlopen (14 km, lage hartslag)
07-04-2026;Zwemmen (8x150 meter interval, totaal 2000 meter)
08-04-2026;Fietsen (70 minuten, 8x2 minuten versnellen)
10-04-2026;Hardlopen (1 uur, 3x8 minuten versnellen)
12-04-2026;Fietsen (70 km)
21-04-2026;Zwemmen (4x150 meter en 6x100 meter interval, 2200 meter totaal)
22-04-2026;Fietsen (70 minuten, 8x2 minuten versnellen)
24-04-2026;Hardlopen (8 km)
26-04-2026;Fietsen (60 km)
28-04-2026;Zwemmen (3x600 meter duurtraining, 2300 meter totaal)
29-04-2026;Hardlopen (70 minuten, 4x800 meter intervals)
